timestamp,u1_add,u1_del,u1_text,u2_add,u2_del,u2_text,u3_add,u3_del,u3_text,u4_add,u4_del,u4_text
2019-08-15 10:38:30,0,0,,0,0,,0,0,,29,0,ifor our topic of discussion.
2019-08-15 10:39:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:39:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:40:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:40:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:41:00,0,0,,0,0,,0,0,,10,0,* Restrict
2019-08-15 10:41:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:42:00,0,0,,0,0,,1,0,,40,0,3not moving4) use of specific technology
2019-08-15 10:42:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:43:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:43:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:44:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:44:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:45:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:45:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:46:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:46:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:47:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:47:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:48:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:48:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:49:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:49:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:50:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:50:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:51:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:51:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:52:00,0,0,,0,0,,1,0,,0,0,
2019-08-15 10:52:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:53:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:53:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:54:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:54:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:55:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:55:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:56:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:56:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:57:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:57:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:58:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:58:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:59:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 10:59:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:00:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:00:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:01:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:01:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:02:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:02:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:03:00,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:03:30,0,0,,0,0,,0,0,,0,0,
2019-08-15 11:04:00,0,0,,0,0,,0,0,,0,0,
